time_period,time_identifier,geographic_level,country_code,country_name,characteristic_group,characteristic,school_type,gender,no_schools,t_mtc_eligible_pupils,t_mtc_pupils_completed_check,t_mtc_eligible_pupils_not_completed_check,t_mtc_scored_25,t_mtc_scored_24,t_mtc_scored_23,t_mtc_scored_22,t_mtc_scored_21,t_mtc_scored_20,t_mtc_scored_19,t_mtc_scored_18,t_mtc_scored_17,t_mtc_scored_16,t_mtc_scored_15,t_mtc_scored_14,t_mtc_scored_13,t_mtc_scored_12,t_mtc_scored_11,t_mtc_scored_10,t_mtc_scored_9,t_mtc_scored_8,t_mtc_scored_7,t_mtc_scored_6,t_mtc_scored_5,t_mtc_scored_4,t_mtc_scored_3,t_mtc_scored_2,t_mtc_scored_1,t_mtc_scored_0,t_mtc_absent,t_mtc_unable_to_participate,t_mtc_working_below,t_mtc_just_arrived,t_mtc_missing_reason,t_mtc_sum_scores,mtc_average_score,pt_mtc_eligible_pupils_completed_check,pt_mtc_eligible_pupils_not_completed_check,pt_mtc_scored_25,pt_mtc_scored_24,pt_mtc_scored_23,pt_mtc_scored_22,pt_mtc_scored_21,pt_mtc_scored_20,pt_mtc_scored_19,pt_mtc_scored_18,pt_mtc_scored_17,pt_mtc_scored_16,pt_mtc_scored_15,pt_mtc_scored_14,pt_mtc_scored_13,pt_mtc_scored_12,pt_mtc_scored_11,pt_mtc_scored_10,pt_mtc_scored_9,pt_mtc_scored_8,pt_mtc_scored_7,pt_mtc_scored_6,pt_mtc_scored_5,pt_mtc_scored_4,pt_mtc_scored_3,pt_mtc_scored_2,pt_mtc_scored_1,pt_mtc_scored_0,pt_mtc_absent,pt_mtc_unable_to_participate,pt_mtc_working_below,pt_mtc_just_arrived,pt_mtc_missing_reason
202122,Academic year,National,E92000001,England,School type,Total,Alternative provision,Boys,72,235,127,108,2,3,2,2,0,2,1,2,1,5,3,9,3,7,6,10,10,9,7,5,1,5,6,8,6,12,13,17,47,0,31,1170,9.2,54,46,1,1,1,1,0,1,0,1,0,2,1,4,1,3,3,4,4,4,3,2,0,2,3,3,3,5,6,7,20,0,13
202122,Academic year,National,E92000001,England,School type,Total,Alternative provision,Girls,25,29,16,13,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,2,2,3,0,0,0,2,0,4,8,0,1,124,7.8,55,45,0,3,0,0,0,0,0,0,0,0,3,0,3,3,0,0,7,3,0,7,7,10,0,0,0,7,0,14,28,0,3
202122,Academic year,National,E92000001,England,School type,Total,Alternative provision,Total,75,264,143,121,2,4,2,2,0,2,1,2,1,5,4,9,4,8,6,10,12,10,7,7,3,8,6,8,6,14,13,21,55,0,32,1294,9,54,46,1,2,1,1,0,1,0,1,0,2,2,3,2,3,2,4,5,4,3,3,1,3,2,3,2,5,5,8,21,0,12
202122,Academic year,National,E92000001,England,School type,Total,Mainstream academies and free schools,Boys,6092,133792,129373,4419,38658,16156,10087,7388,6153,5433,4895,4579,4197,3872,3781,3453,3245,2974,2554,2315,1940,1824,1426,995,726,632,529,387,428,746,899,650,2544,94,232,2586457,20,97,3,29,12,8,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream academies and free schools,Girls,6095,129332,126164,3168,32925,14844,9502,7344,6254,5557,5126,4837,4568,4312,4111,3989,3804,3360,2986,2708,2287,2014,1518,1047,687,516,471,342,414,641,764,341,1733,86,244,2461899,19.5,98,2,25,11,7,6,5,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream academies and free schools,Total,6110,263124,255537,7587,71583,31000,19589,14732,12407,10990,10021,9416,8765,8184,7892,7442,7049,6334,5540,5023,4227,3838,2944,2042,1413,1148,1000,729,842,1387,1663,991,4277,180,476,5048356,19.8,97,3,27,12,7,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,1,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream converter academies,Boys,4246,93277,90435,2842,27354,11447,7205,5251,4311,3822,3467,3231,2924,2678,2598,2379,2290,2048,1713,1543,1278,1238,919,614,454,401,316,228,268,458,581,396,1668,49,148,1821337,20.1,97,3,29,12,8,6,5,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream converter academies,Girls,4247,90154,88021,2133,23211,10600,6822,5227,4416,3916,3634,3382,3135,2984,2840,2766,2581,2289,2021,1780,1497,1348,983,665,427,326,319,229,248,375,511,234,1167,54,167,1731198,19.7,98,2,26,12,8,6,5,4,4,4,3,3,3,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream converter academies,Total,4258,183431,178456,4975,50565,22047,14027,10478,8727,7738,7101,6613,6059,5662,5438,5145,4871,4337,3734,3323,2775,2586,1902,1279,881,727,635,457,516,833,1092,630,2835,103,315,3552535,19.9,97,3,28,12,8,6,5,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream free schools,Boys,205,4581,4452,129,1630,656,361,275,226,185,143,109,139,115,104,90,69,58,58,49,32,30,19,30,20,21,11,6,6,10,22,21,72,4,10,94792,21.3,97,3,36,14,8,6,5,4,3,2,3,3,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0
202122,Academic year,National,E92000001,England,School type,Total,Mainstream free schools,Girls,205,4560,4480,80,1401,623,352,296,231,181,157,153,158,128,120,106,103,84,74,70,62,48,34,30,14,11,4,9,11,20,29,4,30,3,14,92187,20.6,98,2,31,14,8,6,5,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
